player,team
Amerigo Star,Portigal
Amerigo Star,Canada
Amerigo Star,South Africa
B-Rex,Morocco
B-Rex,South Korea
B-Rex,Curacao
Jime de Lima,Brazil
Jime de Lima,Switzerland
Jime de Lima,Norway
Konge Lars,Croatia
Konge Lars,United States
Konge Lars,Haiti
Lorenz of Beer,Netherlands
Lorenz of Beer,Iraq
Lorenz of Beer,Ivory Coast
Mothman Marie,France
Mothman Marie,Japan
Mothman Marie,Saudi Arabia
Maximus Prime,Mexico
Maximus Prime,Columbia
Maximus Prime,Scotland
Queen of Farum,Argentina
Queen of Farum,Capo Verde
Queen of Farum,Austria
Olways Oystein,Spain
Olways Oystein,Ecuador
Olways Oystein,DR Congo
President Pär,Germany
President Pär,Uruguay
President Pär,Turkiye
Power Petya,Belgium
Power Petya,Ghana
Power Petya,Iran
Thomas the Tank,Senegal
Thomas the Tank,Quatar
Thomas the Tank,Australia
Travis the Traveler,England
Travis the Traveler,Egypt
Travis the Traveler,Bosnia Herzegowina
